127.0.0.1, 2018-07-20 08:42:22, GET, /admin/static/css/d3_graph.css, HTTP/1.1, 200, 0.002046
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/js/web2py.js, HTTP/1.1, 200, 0.001217
127.0.0.1, 2018-07-20 08:42:22, GET, /admin/static/js/d3.min.js, HTTP/1.1, 200, 0.001281
127.0.0.1, 2018-07-20 08:42:22, GET, /admin/static/js/d3_graph.js, HTTP/1.1, 200, 0.000271
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001205
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000332
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/js/share.js, HTTP/1.1, 200, 0.000454
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/images/twitter.png, HTTP/1.1, 200, 0.002281
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/images/favicon.ico, HTTP/1.1, 200, 0.001131
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/images/gplus-32.png, HTTP/1.1, 200, 0.002262
127.0.0.1, 2018-07-20 08:42:22, GET, /hello/static/images/facebook.png, HTTP/1.1, 200, 0.002357
127.0.0.1, 2018-07-20 08:42:26, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.099709
127.0.0.1, 2018-07-20 08:42:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001585
127.0.0.1, 2018-07-20 08:43:21, GET, /hello, HTTP/1.1, 200, 0.037035
127.0.0.1, 2018-07-20 08:43:43, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.078503
127.0.0.1, 2018-07-20 08:43:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000479
127.0.0.1, 2018-07-20 08:43:48, GET, /admin/default/site, HTTP/1.1, 200, 0.025158
127.0.0.1, 2018-07-20 08:43:50, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.074571
127.0.0.1, 2018-07-20 08:43:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000243
127.0.0.1, 2018-07-20 08:43:52, GET, /admin/default/design/hello, HTTP/1.1, 200, 0.056837
127.0.0.1, 2018-07-20 08:43:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/default/edit/hello/controllers/appadmin.py, HTTP/1.1, 200, 0.035240
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000609
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000357
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000404
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001520
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001748
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.003263
127.0.0.1, 2018-07-20 08:49:01, GET, /admin/static/_2.16.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001238
